date,open,high,close,low,volume,amount
2008-06-30,3631.954,3718.385,3676.123,3584.9990000000003,151061096,2143123550
2008-07-01,3693.51,3715.664,3629.762,3620.357,139276831,1851733079
2008-07-02,3633.534,3718.855,3658.48,3620.8920000000003,158682126,2134344293
2008-07-03,3622.3459999999995,3879.63,3831.784,3576.116,306497470,4082269962
2008-07-04,3819.926,3872.489,3818.515,3786.2309999999998,260848799,3505029570
2008-07-07,3823.297,4004.159,4000.546,3823.297,342960644,4714087767
2008-07-08,4014.466,4088.784,4076.039,3982.022,371001627,5180763596
2008-07-09,4083.39,4178.066,4178.066,4083.39,422900782,5739409251
2008-07-10,4143.525,4228.432,4137.568,4104.932,441883385,6174976544
2008-07-11,4111.702,4146.955,4068.719,4014.5,319078363,4202182610
2008-07-14,4039.028,4133.423,4123.679,4019.848,281956893,3621718032
2008-07-15,4132.247,4160.541,3999.4770000000003,3988.228,353390993,4798236921
2008-07-16,3977.48,3977.48,3873.37,3810.445,300100904,4089605062
2008-07-17,3902.857,3974.125,3851.2740000000003,3831.684,241620295,3471141359
2008-07-18,3867.462,3956.784,3933.699,3773.888,249485736,3435352616
2008-07-21,3915.3140000000003,4104.357,4090.203,3900.4309999999996,361915793,4550675384
2008-07-22,4093.1290000000004,4123.8859999999995,4097.392,4054.0159999999996,306490452,3826153509
2008-07-23,4106.659000000001,4131.49,4048.2459999999996,4044.962,311429618,3865094032
2008-07-24,4054.244,4136.867,4132.625,4054.244,300361618,3865388293
2008-07-25,4107.627,4142.209,4114.519,4081.054,300864134,3983644016
2008-07-28,4134.542,4181.965,4140.414000000001,4119.767,261359715,3757617807
2008-07-29,4113.432,4121.178,4085.691,4063.5209999999997,228593984,3151681223
2008-07-30,4124.472,4145.29,4072.91,4045.9159999999997,194846887,2685776085
2008-07-31,4081.078,4085.2859999999996,3969.239,3966.6690000000003,204273833,2655091291
2008-08-01,3950.05,4027.678,4006.275,3892.1090000000004,205181820,2650029817
2008-08-04,3975.12,3989.0029999999997,3895.833,3894.263,142278982,1834268763
2008-08-05,3898.078,3922.062,3788.3720000000003,3784.202,168780394,2361858851
2008-08-06,3803.5959999999995,3846.032,3805.553,3745.975,157647452,2137766292
2008-08-07,3805.725,3836.099,3793.446,3755.8520000000003,152210541,1888112417
2008-08-08,3793.6220000000003,3807.188,3610.7259999999997,3598.812,206574254,2580090136
2008-08-11,3599.75,3605.728,3428.5159999999996,3409.38,181723887,2104293738
2008-08-12,3398.8459999999995,3418.325,3397.1940000000004,3339.245,159468397,1695307415
2008-08-13,3378.03,3442.31,3422.829,3315.327,179547696,2046582290
2008-08-14,3416.603,3479.893,3457.605,3392.116,140201341,1661484482
2008-08-15,3453.724,3487.697,3458.691,3429.2490000000003,142753471,1763910652
2008-08-18,3455.5290000000005,3462.1079999999997,3286.763,3282.975,142531763,1597623648
2008-08-19,3250.966,3337.82,3330.236,3218.73,140000736,1666242065
2008-08-20,3316.449,3560.598,3560.598,3293.342,259495477,2752480645
2008-08-21,3515.73,3551.492,3433.01,3420.975,218183119,2434111849
2008-08-22,3423.865,3429.13,3343.341,3295.925,149399712,1701265151
2008-08-25,3355.268,3381.8709999999996,3332.522,3314.434,111813268,1233683953
2008-08-26,3303.6609999999996,3303.6609999999996,3206.255,3152.425,152721928,1642903749
2008-08-27,3197.4829999999997,3244.877,3147.472,3094.335,138540148,1484175219
2008-08-28,3152.5040000000004,3157.442,3133.486,3107.724,127394673,1356134977
2008-08-29,3136.304,3233.011,3199.7340000000004,3120.9770000000003,164161095,1644158771
